job title,Publish Date,Closing Date,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Requirement
Sale Representative,Publish Date：Aug-26-2022,Closing Date：Sep-24-2022,Middle,1,5,$200-$500,Male/Female,Age Unlimited,Full Time,Sales,Trading,Bachelor Degree,English-- Good,Battambang，Kampong Cham，Kampot，Koh Kong，Phnom Penh，Preah Sihanouk，Rattanakiri,"-Diploma in Sales/Marketing/Business or equivalent
-Preferably sales experience with other FMCG (Fast Moving Consumer Goods) companies

Leadership Expectations:
-Ability to connect and build trust through authentically empathy and logic
-Ability to shape the future by thinking big and setting a clear strategy
-Ability to develop, grow and motivate our people
-Ability to set and deliver against ambitious targets by raising the bar and taking ownership for results
-Ability to lead by example, promoting and role modelling the Heineken Behaviors in everything we do

* Technical Skills:

-Management knowledge
-Problem-solving skills
-Negotiation and persuasive skills
-Possess valid driving license.

-Language Requirement:
-English: Intermediate level in written and spoken"
Sales Agent ( Male & Female ),Publish Date：Sep-06-2022,Closing Date：Oct-06-2022,~,1,5,Negotiable,Male,20 ~ 30,Full Time,Sales,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"Experience in real estate industry is preferred
- Good in Khmer, English and Chinese is a plus.
- Know how to use Microsoft office (Word, Excel and PowerPoint).
- Friendly, Honesty, flexible and hard-working.


Interested candidates please send your resume/CV with a cover letter only and explain your specific qualifications for the position, present and expected salary to hr.goldenrealty@gmail.com. All candidates who apply first will have a choice.

More information: 023 655 8888 / 069 704 736
Company website: www.c21golden.com.kh
Company Facebook: www. Facebook.com/c21goldenrealty"
Lead Architect ($2000 to $3000),Publish Date：Aug-16-2022,Closing Date：Sep-14-2022,Top,8,~,Negotiable,Male/Female,Age Unlimited,Full Time,Architecture/Engineering,Architecture/Building/Construction,Bachelor Degree,English-- Good,Phnom Penh,"•Bachelor degree or Master degree in Architecture and other equivalent degree.
•At least 8 years (Architecture), 5 years (Manager) of working experiences.
•Be able to use computer application(2D, 3D, 3D Max, Sketch up, Google Sketch Up, Modeling and V-Ray, Adobe Photoshop and MS Office),
•Be able to organize the project.
•Have a logical, analytical and creative approach to solve problem
•Have good presentation skills.
•Have good oral and written in Khmer and English, Chinese (Priority).
•Have good negotiation skills, Communication skills, interpersonal skills; and problem solving skills.
•Be friendly, flexible, honest, hard-working, and be able to work under pressure.

*** Benefits & Conditions
- Office Working time: 8:00Am~5:30PM (Monday to Friday). 8:00AM ~12:00PM (Saturday) 
- 18 days Annual Leave and Public Holidays
- Annual Incentive, Annual Staff party, Annual Trip, and More

Contact person: Admin & HR Dep
Contact number: 069 86 98 98
Website: http://uc-db.com/
Address: No18, St 360,SK.Boeung Keng Ko..."
Site Supervisor / Site Engineer ($600 - $900),Publish Date：Aug-17-2022,Closing Date：Sep-15-2022,Senior,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Architecture/Engineering,Architecture/Building/Construction,Bachelor Degree,English-- Good,Phnom Penh,"- At least 4 years Supervisory experience in concrete and heavy civil construction.
- Experience in working in remote locations, able to travel and willing to work overtime.
- A demonstrated ability to communicate effectively at all levels both internally and externally.
- Proficient with computers.
- Strong leadership capabilities and able to motivate and direct work crews.
- Strong Safety First Attitude.
- Have a logical, analytical and creative approach to solve problem
- Have good presentation skills.
- Have good oral and written in Khmer and English, Chinese (Priority).
- Have good negotiation skills, Communication skills, interpersonal skills; and problem solving skills.
- Be friendly, flexible, honest, hard-working, and be able to work under pressure.

Benefits
- Insurance
- Accommodation fee
- Any Travel Expenses that related to work
- Annual leave 18 days and Public Holiday 18 days
- Annual Bonus base one work performance

* Working time.
-5.5 days / week
-From Monday to Saturday
-7:00am-11:00am
-..."
Project Manager (1500$ to $2200),Publish Date：Aug-17-2022,Closing Date：Sep-15-2022,Top,3,~,Negotiable,Male/Female,Age Unlimited,Full Time,Architecture/Engineering,Architecture/Building/Construction,Bachelor Degree,English-- Good,Phnom Penh,"-Bachelor degree or Master degree in Architecture and other equivalent degree.
- At least 3 years of working experiences.
- Be able to use computer application(2D, 3D, 3D Max, Sketch up, Google Sketch Up,Modeling and V-Ray, Adobe Photoshop and MS Office),
- Be able to organize the project.
- Have a logical, analytical and creative approach to solve problem
- Have good presentation skills.
- Have good oral and written in Khmer and English, Chinese (Priority).
- Have good negotiation skills, Communication skills, interpersonal skills; and problem solving skills.
- Be friendly, flexible, honest, hard-working, and be able to work under pressure.

Benefits
- Insurance
- Accommodation fee
- Any Travel Expenses that related to work
- Annual leave 18 days and Public Holiday 18 days
- Annual Bonus base one work performance"
Cashier,Publish Date：Sep-06-2022,Closing Date：Sep-10-2022,Entry Level,~,1,Negotiable,Male/Female,Age Unlimited,Full Time,Accounting,Food & Beverages,Bachelor Degree,English-- Good,Phnom Penh,"- University student or fresh graduates 
- English communicable 
- Able to work on shift rotation 
- Able to work independently with minimum supervision.
- Good commitment, communication, willing to learn new things
- Positive attitude, result-oriented, meticulous with high level of integrity"
Warehouse Supervisor,Publish Date：Sep-06-2022,Closing Date：Sep-15-2022,Middle,2,1,Negotiable,Male/Female,Age Unlimited,Full Time,Logistics/Shipping/Deliver/Warehouse,Food & Beverages,Bachelor Degree,English-- Good,Kampot，Phnom Penh,"** BBA or Associate
1. At least 2 years experience in stock control, inventory or warehouse management
2. Male preferred
3. Friendly, hardworking and flexible
4. Self-confidence, motivation and good communication skills
5. Good command of English both spoken and written
3. Proficiency in Microsoft Office (Ms Outlook, Ms Excel)"
HR Executive,Publish Date：Sep-06-2022,Closing Date：Sep-15-2022,Entry Level,1,~,Negotiable,Male/Female,Age Unlimited,Full Time,Human Resource,Food & Beverages,Bachelor Degree,English-- Good,Phnom Penh,"- Bachelor degree in Business Administration/ Human Resource Management 
- At least 1 - 2 years relevant working experience in recruitment.
- Good communication, facilitation and interpersonal skill such as strong negotiation 
- Ability to use English for Communication. 
- Ability computer skills (Microsoft office). 
- Basic Knowledge of labor legislation. 
- Strong commitment, result-oriented, fast learning and passion to learn new thing."
Field Sales Executive,Publish Date：Sep-06-2022,Closing Date：Sep-15-2022,Middle,~,1,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Food & Beverages,Bachelor Degree,English-- Good,Kampong Cham，Kratie，Tboung Khmum,"- Welcome both of Male and Female 
- At least 1 or 2 year experience of sale and knowledge of Food products 
- Bachelor degree in Business, Management, Marketing or related field.
 - Having sales personality, High commitment, Self-motivation and maintaining a professional attitude towards customers. 
- Able to work under pressure and finish tasks on time. 
- Able speak English for fairly well. 
- Be able to use Word/Excel, and Internet & Email for computing sales record sending daily report. 
- Honest person, willing to work hard and flexible, follow up + update all issue status 
+BENEFITS & CONDITIONS 
- Working Time: 8:00am～5:00pm (Monday to Friday)
 - Working Time: 8:00am～3:00pm (Saturday) 
- Negotiable salary
 - Commission, Bonus, Insurance, Seniority payment 
- Telephone to be offered by company 
- Other benefits to be informed by interviewed"
Customer Service _ Custom Clearance,Publish Date：Aug-12-2022,Closing Date：Sep-10-2022,Entry Level,1,~,Negotiable,Male/Female,Age Unlimited,Internship,Logistics/Shipping/Deliver/Warehouse,Logistics/Freight/Shipping/Delivery/Warehouse,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor Degree in Business Administration, Law or related field is required. 
• Good in Speaking/Reading/Writing English is required.
• Good Computer Skills: MS Word, Excel, Power Point, Internet Email
• Must have 1 or 2 years of working experience in Customs Clearance environment. 
• Must have planning & organizing skills.
• Ability to work under pressure 


DHL Express (Cambodia) Office: Unit 575 A, B, & C, of California Social House, 571 – 575
Russian Federation Boulevard, Phnom Penh, Cambodia

Email address: apecexpress-khrecruitment@dhl.com 

Shall you have any inquiries regarding the post, please contact 023 992 618 (Ext: 814 & 822). Only short listed candidates will be notified."
Warehouse Intern Part Time,Publish Date：Sep-07-2022,Closing Date：Sep-11-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Logistics/Shipping/Deliver/Warehouse,Logistics/Freight/Shipping/Delivery/Warehouse,High School,English-- Good,Phnom Penh,"• High School/Associate/Bachelor Degree or equivalent is required. 
• Good in Speaking/Reading/Writing English 
• Good Computer Skills: MS Word, Excel, and Internet Email
• Obtaining related working experience will be an advantage 
• Good at time management and organizing skill 

HOW TO APPLY: Candidates must submit application (CV & Cover Letter) to DHL Express (Cambodia) Ltd. office following below address, or application can be submitted online via this email apecexpress-khrecruitment@dhl.com


Shall you require more information, please contact 023 992 618 (Ext: 814 & 822). Please note that only short listed candidates will be notified for interview appointment. 

DHL Express (Cambodia) Office: Country Office - Unit 575 A-B-C of California Social House 571 – 575,
Russian Federation Boulevard, Phnom Penh, Cambodia"
Customer Service _ Custom Clearance,Publish Date：Sep-11-2022,Closing Date：Sep-15-2022,Entry Level,1,~,Negotiable,Male/Female,Age Unlimited,Internship,Logistics/Shipping/Deliver/Warehouse,Logistics/Freight/Shipping/Delivery/Warehouse,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor Degree in Business Administration, Law or related field is required. 
• Good in Speaking/Reading/Writing English is required.
• Good Computer Skills: MS Word, Excel, Power Point, Internet Email
• Must have 1 or 2 years of working experience in Customs Clearance environment. 
• Must have planning & organizing skills.
• Ability to work under pressure 


DHL Express (Cambodia) Office: Unit 575 A, B, & C, of California Social House, 571 – 575
Russian Federation Boulevard, Phnom Penh, Cambodia

Email address: apecexpress-khrecruitment@dhl.com 

Shall you have any inquiries regarding the post, please contact 023 992 618 (Ext: 814 & 822). Only short listed candidates will be notified."
